competition_id,mean,round_type_id,group_id,scramble_num,scramble,optimal_slicecount,optimal_solution
TresenLineaBogota2022,9.2,2,A,2,"(-2,0) / (0,3) / (3,0) / (-3,0) / (-1,-1) / (6,0) / (0,-3) / (0,-5) / (-3,0) / (-3,0) / (5,0) / (4,-4) / (-1,-2) / (0,-4)",9,"(4,0)/(2,-4)/(0,4)/(2,-1)/(2,-3)/(0,-5)/(5,6)/(0,-3)/(3,2)/(3,-2)"
TresenLineaBogota2022,9.2,2,A,3,"(-3,-4) / (-5,-5) / (-3,0) / (6,-3) / (-1,-1) / (-2,0) / (-3,-3) / (-1,0) / (-2,-4) / (4,-4)",7,"(2,0)/(2,-2)/(4,-4)/(4,6)/(2,4)/(3,4)/(3,3)/(-4,-5)"
TresenLineaBogota2022,9.2,2,A,4,"(4,0) / (0,3) / (-3,-3) / (-3,0) / (-1,-4) / (-3,-3) / (1,0) / (3,0) / (2,0) / (0,-3) / (4,0) / (0,-3) / (-3,0)",10,"(2,-3)/(3,6)/(0,4)/(0,-4)/(1,-2)/(5,6)/(3,6)/(2,-3)/(4,-5)/(6,3)/(5,3)"
TresenLineaBogota2022,9.2,2,A,5,"(0,5) / (-3,3) / (4,-2) / (-3,0) / (-1,-1) / (0,-2) / (-3,0) / (0,-3) / (-3,-3) / (6,-1) / (2,0) / (-5,0) / (-2,0)",10,"(2,0)/(5,0)/(4,6)/(2,-3)/(5,6)/(3,-1)/(4,1)/(0,5)/(3,6)/(0,2)/(-3,-5)"
ApolloBayCubing2022,9.2,c,B,1,"(1,-3) / (5,-1) / (3,0) / (-2,-2) / (-4,0) / (0,-3) / (0,-1) / (0,-4) / (-2,-2) / (2,0) /",10,"/(4,6)/(2,2)/(4,-4)/(2,3)/(0,3)/(3,2)/(1,-5)/(3,6)/(-4,-4)/(3,-2)"
ApolloBayCubing2022,9.2,c,B,2,"(0,-4) / (-5,-5) / (-4,-4) / (-3,0) / (-2,-5) / (-3,0) / (0,-1) / (0,-3) / (0,-3) / (0,-3) / (3,0) /",7,"(0,3)/(2,0)/(0,-3)/(4,-2)/(5,-4)/(1,-5)/(-4,5)/(0,4)"
ApolloBayCubing2022,9.2,c,B,3,"(1,0) / (3,0) / (5,-4) / (6,0) / (-2,-2) / (-3,0) / (-1,0) / (-3,0) / (-2,0) / (0,-1) / (4,-3) / (3,-4) /",10,"/(4,6)/(0,2)/(3,-2)/(0,-4)/(5,0)/(1,4)/(5,0)/(3,6)/(0,3)/(0,3)"
ApolloBayCubing2022,9.2,c,B,4,"(-3,5) / (-2,1) / (2,-1) / (-2,-5) / (3,0) / (0,-4) / (0,-3) / (5,0) / (-2,0) / (4,0) / (-4,0) / (-2,0) / (3,0)",10,"(4,4)/(0,-2)/(0,-4)/(0,2)/(0,4)/(5,2)/(4,0)/(1,-1)/(0,3)/(3,6)/(-1,-5)"
ApolloBayCubing2022,9.2,c,B,5,"(-5,3) / (2,-1) / (1,-2) / (-1,-1) / (3,0) / (1,-3) / (0,-3) / (0,-2) / (-4,0) / (0,-2) / (6,0) / (-3,-2)",9,"(3,6)/(2,3)/(0,4)/(0,2)/(0,-2)/(3,0)/(0,4)/(3,6)/(2,-3)/(0,4)"
StockholmVRG2021,9.2,d,A,1,"(0,5) / (0,3) / (-3,6) / (0,-3) / (0,-3) / (1,-2) / (0,-1) / (0,-3) / (-1,0) / (0,-4) / (1,0) / (0,-2) / (-4,-5) / (-3,0)",9,"(3,0)/(4,5)/(3,-4)/(0,-1)/(4,-4)/(3,5)/(3,6)/(3,3)/(-3,-1)/(6,1)"
StockholmVRG2021,9.2,d,A,2,"(0,-4) / (1,1) / (-3,0) / (0,-3) / (-4,-1) / (4,-5) / (-4,0) / (0,-3) / (0,-1) / (-3,0) / (6,-2) / (0,-2)",9,"(3,-4)/(3,0)/(5,-3)/(3,0)/(4,1)/(0,-3)/(2,-1)/(3,-3)/(1,1)/(-4,3)"
StockholmVRG2021,9.2,d,A,3,"(-3,5) / (6,3) / (-2,-5) / (0,-3) / (5,-4) / (0,-5) / (0,-3) / (0,-1) / (6,-4) / (-2,0) / (3,-2) /",9,"(4,6)/(2,-1)/(1,-2)/(3,-2)/(2,0)/(4,-4)/(3,2)/(0,3)/(-1,3)/(3,4)"
