competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,optimal_solution
BirminghamSpring2025,1,D,0,3,U' R F' U' R' U' R' U' F' U2 R,5, R' U' R2 F U'
KorumCubeChallenge2025,1,C,0,5,U' R F' U2 R' F R2 U2 F' U' R',5, F' R F' R F2
KorumCubeChallenge2025,1,A,0,5,U' R' F U' R2 U2 R2 F U2 R2 U2,5, F U F' R U
VieniaCubareinPuglia2025,1,C,1,1,R U' R2 U' R2 U2 R2 U2 F2 R2 U',5, U2 R2 F2 U R'
PlazaCenterCubeLimaVI2025,2,E,0,3,R' U2 F U2 R U' R' U' R U' F,5, F2 U' R' U' R2
XianCherryBlossom2025,2,A,1,2,R' F' U2 R2 U' R2 U' R2 U' R2 U',5, R' F U F2 U'
Kuutionvaantelyt2025,1,C,1,1,U' R' U' R' F' R U2 R' F R U',5, U2 R' F2 R2 U
CuBeaulieuCrazeComeback2025,f,B,0,3,R' U' R U' R U' R' U' R U2 R',5, R' U' R U2 R
SouthernIndianaQualifier2025,f,C,0,2,U R U' R2 U' R2 F' R2 U' R U',5, F' R' U' R2 U'
KuldigasPavasaris2025,f,A,0,5,R' U' F U2 R U R' U2 R F R,5, R' U' R' U F'
LaSillaVMonterrey2025,2,B,0,5,U R' U' R2 U2 R2 F U2 R2 U2 R',5, F' U F R F
VermontNewcomers2025,1,A,0,1,R U' R' U' R' U2 F' R2 U' F' R2,5, R2 U' R' F' U'
CalabriaOpen2025,f,A,1,2,R' U2 F U R F R U' R' F U2,5, U2 F2 R' U R
CatskillsSpring2025,1,B,0,5,R F' U' F' U' R' U' R' U' R U',5, U2 R2 F U F
Lundakuben2025,1,A,0,4,R' F' R U2 R' F R U R' U R2,5, R2 U' F2 R U'
CubeAgainstCancerNOLA2025,f,B,0,1,U2 R' F U' R' U' F R2 U' R2 U',5, R2 F' R2 U F2
MuggioSpring2025,1,B,0,5,U F R U2 R' U' R U' R' F U2,5, F2 U2 F' U F'
LibertyScienceCenterOpenB2025,1,A,0,1,U' R' U' R2 U' R2 U' R U R U',5, R2 U2 R' U R'
Oulu2025,f,A,0,1,R' U2 F' U2 F' U2 F R U' R' U',5, U2 F' R' U2 F2
TwistinginTitirangi2025,1,A,1,2,U' R F' R' U2 R' F' U' R U' R',5, R' F' U R2 U
ChicagolandNewcomers2025,1,D,0,1,U R' F' U' R F R U R' U' F,5, F' U R2 F' U2
NewcomersCapeCubeFest2025,f,B,0,3,R' U2 F U' R U2 R2 U2 F' U2 R',5, U F U2 F2 R2
RzeszowOpen2025,1,A,0,2,U R' U' F' U' R U2 R' F R2 U,5, R F U R2 F2
LuoyangSpring2025,d,D,0,1,R U2 R2 U2 R2 U2 R' U R' F2 R,5, R' F2 R U' R2
LuoyangSpring2025,d,B,0,5,U R U' R' U' R U2 R' F' U' R',5, F' R U2 F U'
RASurabayaShowdown2025,1,A,0,2,R' U' R' U' R U R U' R2 F R2,5, U2 R2 F R' U'
Sqauckland2025,2,B,1,1,R F R U' R U2 R2 F U2 R2 U',5, U' R' U' F U
Sqauckland2025,1,A,0,1,R' U' R2 F' U' R2 F R U R F',5, R F2 R' F2 R
WolverineWeekdays1Orem2025,f,A,0,2,R' F' U2 F R U' R' U2 R U' F,5, F' U F R F'
LaEstacionCali2025,f,A,0,3,U R U' F' R' U' R' U' R2 U2 R',5, R U' R2 F R2
CubbOpenRoma2025,f,B,1,2,R' F U' R' U' F' U' F U2 R U',5, U' F R' F2 R
PUCPCubingFestivalIV2025,1,I,0,4,R' F U' F U2 F U' F R U' R,5, R2 F2 R' F' R2
Cube4funLublinSunday2025,1,B,0,5,R' U' F R U R F' U' R2 F' R,5, U F' U' F R2
D21DelhiCubeOpenA2025,f,A,0,2,U' R U' R2 U' R U' R' U2 F' R,5, F' U F U2 F2
BrilliantBallarat2025,1,A,0,2,U' R' U2 F' U2 R2 U' R' U' R' U2,5, U2 R' F' R' U2
SandnesWinter2025,2,B,1,2,U2 R U' R' U' R' F' R2 U' R' U2,5, U R' F' R U2
