competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_movecount,movecount_solution
MinxinginMemphis2025,8.0,1,A,1,1,UR5- DR0+ DL1- UL3- U3+ R2+ D1+ L1- ALL1- y2 U5+ R3- D5+ L4+ ALL4+,9,UL5+ R3+ dr2+ \5- y2 ul1- D4+ U5- L4- DR3+
MinxinginMemphis2025,8.0,1,A,1,2,UR3+ DR0+ DL0+ UL4- U6+ R3- D1+ L1- ALL3+ y2 U2+ R3- D2- L6+ ALL3+,8,UL5- D1- L2- dl3+ y2 D2+ U5- L6+ UR3+
HungarianOpen2024,8.0,f,A,0,1,UR3- DR1+ DL3- UL4+ U6+ R1+ D2- L5+ ALL4- y2 U0+ R0+ D2- L4- ALL1-,8,DR1+ UL5+ D3+ L1+ \3- y2 dl3+ L2+ DL2+
HungarianOpen2024,8.0,f,A,0,2,UR1+ DR2+ DL0+ UL5- U0+ R1+ D3- L3+ ALL1- y2 U3- R2+ D3- L4+ ALL4+,10,UR2+ DR1+ UL2+ R5+ dr1- ALL5+ y2 dr2+ UL5+ DL3+ UR2-
HungarianOpen2024,8.0,f,A,0,3,UR5+ DR1- DL3- UL5- U5+ R6+ D4+ L3+ ALL4- y2 U5- R3- D1+ L2+ ALL1-,8,UR2+ UL5+ dl2- \3- y2 R3+ U5+ L1- DL1-
HungarianOpen2024,8.0,f,A,0,4,UR5- DR6+ DL2- UL6+ U4- R2+ D2+ L2+ ALL5- y2 U3- R3+ D1- L1- ALL0+,9,DR3- DL3- UL3+ L6- \5- y2 ur2- U6+ DL1+ UR3-
HungarianOpen2024,8.0,f,A,0,5,UR0+ DR0+ DL4+ UL2- U3+ R0+ D2- L1- ALL0+ y2 U0+ R5- D3+ L3- ALL2-,8,UL1- D2- ur4+ dr3- y2 D3- R5+ L3+ ALL2+
HungarianOpen2024,8.0,f,A,1,1,UR3+ DR2- DL1- UL2+ U2- R3- D2- L1- ALL2- y2 U4- R5- D1+ L1+ ALL0+,8,UR3- DR5+ ul6- y2 ul1+ R1+ DL1- UR4+ \2+
HungarianOpen2024,8.0,f,A,1,2,UR3- DR1+ DL1- UL3- U5+ R4- D5+ L6+ ALL2+ y2 U3- R5- D2+ L3- ALL6+,10,UR2- DL5- UL3+ R4- y2 dr4+ ur1- R5- UL3+ DR2- /4+
MuggioICQualifier2024,8.0,f,B,0,1,UR5+ DR1- DL4- UL3- U0+ R5- D1- L5+ ALL3- y2 U5+ R1- D1- L2- ALL3-,9,DR1+ DL5+ UL3- U1+ dl3+ y2 dl6+ U5+ UL2+ DR1+
MuggioICQualifier2024,8.0,f,B,0,2,UR6+ DR2- DL5- UL4- U6+ R3- D3+ L5+ ALL1+ y2 U0+ R3- D3+ L2- ALL3+,8,DR4+ UL4+ R5- ALL2+ y2 dr6+ R4- DL2+ DR5-
