competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_simulcount,simulcount_solution
ItsChristmasTimeLima2025,5.67,d,D,4,UR3- DR2+ DL4- UL2+ U0+ R2- D4- L1+ ALL3- y2 U3- R6+ D5+ L6+ ALL5+,6,"UL(1,1) R(3,6) D(6,-4) ur(-2,1) dr(-3,5) /(6,-2)"
ItsChristmasTimeLima2025,5.67,d,D,5,UR1+ DR3- DL1+ UL4+ U2+ R1+ D5- L3+ ALL6+ y2 U2+ R0+ D1+ L3+ ALL5-,5,"DR(1,6) U(5,1) D(6,2) L(4,3) /(-2,1)"
PanamaNationals2025,5.67,c,A,1,UR1+ DR3+ DL3+ UL4- U3+ R5+ D2- L4+ ALL4+ y2 U6+ R4- D2- L3- ALL4+,5,"DL(-3,1) U(0,1) R(3,-4) D(-1,6) dr(-4,-3)"
PanamaNationals2025,5.67,c,A,2,UR6+ DR2+ DL3- UL2+ U3+ R5- D2- L0+ ALL1+ y2 U2- R0+ D4- L6+ ALL1+,6,"UR(1,0) DR(2,2) DL(1,5) R(6,0) ur(-2,-2) dr(0,-4)"
PanamaNationals2025,5.67,c,A,3,UR2+ DR6+ DL2+ UL1+ U2- R1+ D4+ L3- ALL3- y2 U5- R4- D4- L5- ALL3-,5,"UR(-1,0) R(4,0) ur(2,-1) dr(-3,-4) ul(2,-4)"
PanamaNationals2025,5.67,c,A,4,UR3- DR0+ DL1+ UL5- U2- R0+ D4- L3+ ALL1+ y2 U2- R1+ D5+ L5- ALL6+,7,"UR(3,1) U(-5,-2) R(0,1) D(3,-2) L(1,0) dr(0,-5) /(-5,0)"
PanamaNationals2025,5.67,c,A,5,UR5+ DR2+ DL4+ UL1+ U5- R3+ D6+ L1- ALL0+ y2 U3- R2- D4+ L4+ ALL1-,6,"UR(3,-4) UL(-4,-1) R(-1,1) dr(1,4) ul(2,-3) \(-4,5)"
UkrainianNationals2025,5.67,d,C,1,UR3+ DR2- DL6+ UL4+ U1- R5+ D3- L1- ALL2- y2 U4- R3+ D1+ L1+ ALL0+,6,"UR(6,-3) DL(3,-3) D(-4,5) dr(-3,1) ul(1,3) \(0,-2)"
UkrainianNationals2025,5.67,d,C,2,UR0+ DR2- DL1+ UL3- U3- R1+ D1+ L2+ ALL3- y2 U1- R2+ D2- L5+ ALL3-,5,"UR(0,1) U(6,5) R(1,3) dr(-4,5) ul(3,-1)"
UkrainianNationals2025,5.67,d,C,3,UR3+ DR5+ DL1+ UL4+ U3- R6+ D1- L1- ALL5+ y2 U6+ R3- D4- L2+ ALL2+,6,"DR(-5,5) UL(-4,2) R(3,-3) ur(4,6) dr(1,-4) /(6,-3)"
UkrainianNationals2025,5.67,d,C,4,UR4- DR6+ DL1- UL2- U6+ R2+ D4+ L1- ALL0+ y2 U5- R0+ D3- L5- ALL5+,6,"UR(0,3) DR(-4,0) D(-5,-5) L(4,-2) dr(-1,-3) \(-4,-1)"
